#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 08 21 00  47  8.7 10.4 99.00 99.00 99.00 999 1022.4  21.3  22.5  13.7 99.0 99.00
2015 01 08 22 00  73  9.6 11.3 99.00 99.00 99.00 999 1022.9  21.4  22.5  14.1 99.0 99.00
2015 01 08 23 00  62  9.0 10.6 99.00 99.00 99.00 999 1023.3  21.3  22.4  14.1 99.0 99.00
2015 01 09 00 00  71  8.1  9.4 99.00 99.00 99.00 999 1023.7  21.4  22.3  13.3 99.0 99.00
2015 01 09 01 00  79  7.6  8.4 99.00 99.00 99.00 999 1023.9  21.5  22.1  13.2 99.0 99.00
2015 01 09 02 00  78  7.1  8.0 99.00 99.00 99.00 999 1024.0  21.5  22.1  13.5 99.0 99.00
2015 01 09 03 00  96  6.6  7.7 99.00 99.00 99.00 999 1023.7  21.7  21.9  13.6 99.0 99.00
2015 01 09 04 00 102  6.2  6.8 99.00 99.00 99.00 999 1023.5  21.7  21.5  13.3 99.0 99.00
2015 01 09 05 00 112  6.2  6.9 99.00 99.00 99.00 999 1023.1  21.8  21.3  13.6 99.0 99.00
2015 01 09 06 00 114  4.4  5.0 99.00 99.00 99.00 999 1022.6  21.8  21.3  14.5 99.0 99.00
2015 01 09 07 00 121  5.0  5.7 99.00 99.00 99.00 999 1022.4  21.9  21.3  14.3 99.0 99.00
2015 01 09 08 00 122  3.1  3.3 99.00 99.00 99.00 999 1022.2  21.7  21.2  14.4 99.0 99.00
2015 01 09 09 00 109  2.6  3.0 99.00 99.00 99.00 999 1022.0  21.6  21.2  14.9 99.0 99.00
2015 01 09 10 00 117  3.4  4.0 99.00 99.00 99.00 999 1021.8  21.8  21.0  15.7 99.0 99.00
2015 01 09 11 00 115  2.8  3.2 99.00 99.00 99.00 999 1022.3  21.8  21.3  15.0 99.0 99.00
2015 01 09 12 00 115  3.1  3.3 99.00 99.00 99.00 999 1022.9  21.8  21.4  15.9 99.0 99.00
2015 01 09 13 00  51  0.6  1.3 99.00 99.00 99.00 999 1023.5  22.2  21.4  15.8 99.0 99.00
