#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 08 11 00 349  3.6  4.1 99.00 99.00 99.00 999 1019.9  11.6  12.0 999.0 99.0 99.00
2010 01 08 12 00 345  4.0  4.4 99.00 99.00 99.00 999 1020.1  11.5  11.9 999.0 99.0 99.00
2010 01 08 13 00   0  4.5  4.9 99.00 99.00 99.00 999 1020.6  12.0  11.9 999.0 99.0 99.00
2010 01 08 14 00   2  4.2  4.8 99.00 99.00 99.00 999 1020.9  11.9  11.9 999.0 99.0 99.00
2010 01 08 15 00 358  2.7  3.1 99.00 99.00 99.00 999 1021.4  12.2  12.0 999.0 99.0 99.00
2010 01 08 16 00  10  2.4  2.7 99.00 99.00 99.00 999 1021.1  12.7  12.2 999.0 99.0 99.00
2010 01 08 17 00 356  0.7  1.0 99.00 99.00 99.00 999 1020.7  12.9  12.4 999.0 99.0 99.00
2010 01 08 18 00  14  0.6  0.8 99.00 99.00 99.00 999 1019.5  13.5  12.5 999.0 99.0 99.00
2010 01 08 19 00 112  2.1  2.2 99.00 99.00 99.00 999 1018.2  14.6  12.6 999.0 99.0 99.00
2010 01 08 20 00 161  1.8  2.1 99.00 99.00 99.00 999 1017.8  17.2  12.8 999.0 99.0 99.00
2010 01 08 21 00 201  2.1  2.3 99.00 99.00 99.00 999 1017.3  17.6  12.9 999.0 99.0 99.00
2010 01 08 22 00 267  1.9  2.1 99.00 99.00 99.00 999 1017.6  16.8  13.0 999.0 99.0 99.00
2010 01 08 23 00 230  2.3  2.4 99.00 99.00 99.00 999 1017.6  16.7  13.1 999.0 99.0 99.00
2010 01 09 00 00 286  3.1  3.3 99.00 99.00 99.00 999 1018.1  15.9  13.1 999.0 99.0 99.00
2010 01 09 01 00 330  2.1  2.2 99.00 99.00 99.00 999 1019.0  14.7  13.0 999.0 99.0 99.00
2010 01 09 02 00  46  0.6  0.7 99.00 99.00 99.00 999 1018.8  14.8  13.0 999.0 99.0 99.00
2010 01 09 03 00  35  1.5  1.5 99.00 99.00 99.00 999 1018.8  15.4  13.0 999.0 99.0 99.00
2010 01 09 04 00 110  0.4  0.4 99.00 99.00 99.00 999 1018.4  15.6  13.1 999.0 99.0 99.00
2010 01 09 05 00   8  1.4  1.4 99.00 99.00 99.00 999 1018.0  16.2  13.2 999.0 99.0 99.00
2010 01 09 06 00  15  3.8  4.0 99.00 99.00 99.00 999 1017.5  14.4  13.3 999.0 99.0 99.00
2010 01 09 07 00  13  3.1  3.2 99.00 99.00 99.00 999 1017.0  14.1  13.2 999.0 99.0 99.00
2010 01 09 08 00   1  2.2  2.5 99.00 99.00 99.00 999 1016.5  14.0  13.2 999.0 99.0 99.00
2010 01 09 09 00  17  2.5  2.8 99.00 99.00 99.00 999 1016.1  14.0  13.2 999.0 99.0 99.00
2010 01 09 10 00  22  3.4  3.7 99.00 99.00 99.00 999 1016.3  13.9  13.1 999.0 99.0 99.00
2010 01 09 11 00   1  5.0  5.5 99.00 99.00 99.00 999 1016.5  13.7  13.1 999.0 99.0 99.00
2010 01 09 12 00 354  5.5  6.4 99.00 99.00 99.00 999 1017.6  13.8  13.0 999.0 99.0 99.00
2010 01 09 13 00   7 10.2 11.6 99.00 99.00 99.00 999 1017.9  12.4  13.0 999.0 99.0 99.00
2010 01 09 14 00  15 10.2 11.5 99.00 99.00 99.00 999 1018.9  10.9  13.1 999.0 99.0 99.00
2010 01 09 15 00  11  9.9 11.4 99.00 99.00 99.00 999 1020.7   9.5  13.0 999.0 99.0 99.00
2010 01 09 16 00   5  8.8  9.9 99.00 99.00 99.00 999 1020.4   7.8  12.9 999.0 99.0 99.00
2010 01 09 17 00   5 10.1 11.2 99.00 99.00 99.00 999 1020.5   7.6  12.7 999.0 99.0 99.00
2010 01 09 18 00   4  9.4 10.5 99.00 99.00 99.00 999 1019.8   7.6  12.6 999.0 99.0 99.00
2010 01 09 19 00   2 10.3 11.4 99.00 99.00 99.00 999 1019.5   7.2  12.6 999.0 99.0 99.00
2010 01 09 20 00 359  8.5  9.6 99.00 99.00 99.00 999 1019.5   7.2  12.5 999.0 99.0 99.00
2010 01 09 21 00 345  8.5  9.7 99.00 99.00 99.00 999 1020.3   7.3  12.5 999.0 99.0 99.00
2010 01 09 22 00 357  8.6  9.6 99.00 99.00 99.00 999 1020.6   7.7  12.5 999.0 99.0 99.00
2010 01 09 23 00   0  7.7  8.8 99.00 99.00 99.00 999 1021.4   7.6  12.4 999.0 99.0 99.00
2010 01 10 00 00 357  8.5  9.5 99.00 99.00 99.00 999 1021.6   7.6  12.3 999.0 99.0 99.00
2010 01 10 01 00 357  9.8 11.2 99.00 99.00 99.00 999 1022.7   7.3  12.2 999.0 99.0 99.00
2010 01 10 02 00 350 11.0 12.1 99.00 99.00 99.00 999 1023.6   7.1  12.0 999.0 99.0 99.00
2010 01 10 03 00 357 10.0 11.1 99.00 99.00 99.00 999 1023.9   6.6  11.9 999.0 99.0 99.00
2010 01 10 04 00 351 10.2 11.3 99.00 99.00 99.00 999 1024.1   7.1  11.8 999.0 99.0 99.00
2010 01 10 05 00 347  9.0 10.1 99.00 99.00 99.00 999 1023.7   6.9  11.7 999.0 99.0 99.00
2010 01 10 06 00 353 10.4 12.0 99.00 99.00 99.00 999 1023.2   6.3  11.7 999.0 99.0 99.00
2010 01 10 07 00 355  9.7 12.2 99.00 99.00 99.00 999 1022.9   6.7  11.6 999.0 99.0 99.00
