YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 07 19 00  99  5.1  5.6 99.00 99.00 99.00 999 1020.6  24.3  23.2  18.6 99.0  0.27
2005 01 07 20 00 123  6.1  7.1 99.00 99.00 99.00 999 1020.3  24.4  23.4  18.9 99.0  0.47
2005 01 07 21 00 107  5.0  6.5 99.00 99.00 99.00 999 1020.5  24.3  23.5  19.0 99.0  0.53
2005 01 07 22 00 110  5.7  6.8 99.00 99.00 99.00 999 1020.9  23.8  23.3  19.4 99.0  0.62
2005 01 07 23 00 111  5.3  6.2 99.00 99.00 99.00 999 1021.3  23.6  23.2  19.9 99.0  0.66
2005 01 08 00 00 106  6.0  6.8 99.00 99.00 99.00 999 1021.5  23.7  23.1  20.3 99.0  0.66
2005 01 08 01 00 108  6.6  7.6 99.00 99.00 99.00 999 1021.9  23.8  23.0  20.0 99.0  0.57
2005 01 08 02 00  90  5.8  6.6 99.00 99.00 99.00 999 1022.2  23.7  22.9  20.4 99.0  0.39
2005 01 08 03 00  93  5.0  5.7 99.00 99.00 99.00 999 1022.5  23.6  22.9  20.5 99.0  0.33
2005 01 08 04 00  96  4.7  5.4 99.00 99.00 99.00 999 1022.8  23.7  22.9  20.7 99.0  0.22
2005 01 08 05 00 108  5.9  6.7 99.00 99.00 99.00 999 1022.6  23.7  22.9  20.9 99.0  0.17
2005 01 08 06 00 121  6.0  7.3 99.00 99.00 99.00 999 1022.1  23.6  23.0  20.9 99.0  0.14
2005 01 08 07 00 118  7.4  8.6 99.00 99.00 99.00 999 1021.7  23.5  23.0  20.4 99.0  0.04
2005 01 08 08 00 119  7.3  8.3 99.00 99.00 99.00 999 1021.3  23.4  22.9  20.5 99.0 -0.21
2005 01 08 09 00 121  7.6  8.3 99.00 99.00 99.00 999 1021.3  23.4  22.8  20.2 99.0 -0.32
2005 01 08 10 00 121  7.1  8.5 99.00 99.00 99.00 999 1021.7  23.4  22.7  20.0 99.0 -0.22
2005 01 08 11 00 113  5.5  6.1 99.00 99.00 99.00 999 1022.5  23.3  22.7  20.1 99.0 -0.06
2005 01 08 12 00 111  5.3  5.7 99.00 99.00 99.00 999 1023.3  23.3  22.6  20.4 99.0  0.06
2005 01 08 13 00  95  4.8  5.3 99.00 99.00 99.00 999 1024.3  23.3  22.6  20.3 99.0  0.10
2005 01 08 14 00  65  4.3  5.1 99.00 99.00 99.00 999 1025.0  23.6  22.6  19.9 99.0  0.07
2005 01 08 15 00  85  5.3  6.0 99.00 99.00 99.00 999 1025.6  23.7  22.6  18.9 99.0 -0.08
2005 01 08 16 00  79  4.9  6.2 99.00 99.00 99.00 999 1025.3  23.9  22.8  18.0 99.0 -0.27
2005 01 08 17 00  78  4.8  5.4 99.00 99.00 99.00 999 1024.7  24.0  23.0  17.8 99.0 -0.26
