YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 07 21 264  2.3  2.7 99.00 99.00 99.00 999 1016.6  25.3 999.0 999.0 99.0
97 01 07 22 228  2.8  3.0 99.00 99.00 99.00 999 1016.8  25.2 999.0 999.0 99.0
97 01 07 23 214  2.0  2.3 99.00 99.00 99.00 999 1016.9  24.6 999.0 999.0 99.0
97 01 08 00 218  2.3  2.6 99.00 99.00 99.00 999 1017.5  24.5 999.0 999.0 99.0
97 01 08 01 215  2.0  2.2 99.00 99.00 99.00 999 1017.8  24.4 999.0 999.0 99.0
97 01 08 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 08 03 302   .9  1.2 99.00 99.00 99.00 999 1018.5  24.1 999.0 999.0 99.0
97 01 08 04 297  1.6  1.7 99.00 99.00 99.00 999 1018.6  24.0 999.0 999.0 99.0
97 01 08 05 320  1.8  1.9 99.00 99.00 99.00 999 1018.4  23.8 999.0 999.0 99.0
97 01 08 06 261   .2   .6 99.00 99.00 99.00 999 1018.2  23.6 999.0 999.0 99.0
97 01 08 07 319   .4   .5 99.00 99.00 99.00 999 1017.8  23.5 999.0 999.0 99.0
97 01 08 08   0   .0   .0 99.00 99.00 99.00 999 1017.3  23.3 999.0 999.0 99.0
97 01 08 09 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 08 10  22   .6  1.0 99.00 99.00 99.00 999 1016.9  23.2 999.0 999.0 99.0
97 01 08 11 349  1.3  1.5 99.00 99.00 99.00 999 1017.3  23.2 999.0 999.0 99.0
97 01 08 12  60  1.2  1.4 99.00 99.00 99.00 999 1018.2  23.4 999.0 999.0 99.0
97 01 08 13  67  2.2  2.4 99.00 99.00 99.00 999 1018.4  23.9 999.0 999.0 99.0
97 01 08 14  52  2.6  2.8 99.00 99.00 99.00 999 1019.1  24.1 999.0 999.0 99.0
97 01 08 15  67  2.9  3.3 99.00 99.00 99.00 999 1019.5  23.9 999.0 999.0 99.0
97 01 08 16  42  3.2  3.7 99.00 99.00 99.00 999 1019.4  23.7 999.0 999.0 99.0
97 01 08 17  38  3.2  3.7 99.00 99.00 99.00 999 1018.8  23.6 999.0 999.0 99.0
97 01 08 18 168  2.4  3.0 99.00 99.00 99.00 999 1017.7  25.0 999.0 999.0 99.0
97 01 08 19 155  3.6  4.1 99.00 99.00 99.00 999 1016.5  25.1 999.0 999.0 99.0
97 01 08 20 168  3.6  4.0 99.00 99.00 99.00 999 1016.1  25.1 999.0 999.0 99.0
97 01 08 21 142  4.1  4.8 99.00 99.00 99.00 999 1016.0  25.1 999.0 999.0 99.0
97 01 08 22 141  3.8  4.2 99.00 99.00 99.00 999 1015.9  25.1 999.0 999.0 99.0
97 01 08 23 148  4.0  4.3 99.00 99.00 99.00 999 1016.0  24.9 999.0 999.0 99.0
97 01 09 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 09 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 09 02 153  3.8  4.3 99.00 99.00 99.00 999 1016.7  24.8 999.0 999.0 99.0
97 01 09 03 140  4.8  5.3 99.00 99.00 99.00 999 1016.9  24.6 999.0 999.0 99.0
97 01 09 04 136  4.6  5.0 99.00 99.00 99.00 999 9999.0  24.4 999.0 999.0 99.0
97 01 09 05 158  5.8  6.4 99.00 99.00 99.00 999 1016.5  24.7 999.0 999.0 99.0
97 01 09 06 169  6.3  7.2 99.00 99.00 99.00 999 9999.0  24.7 999.0 999.0 99.0
97 01 09 07 177  6.8  8.3 99.00 99.00 99.00 999 9999.0  24.7 999.0 999.0 99.0
97 01 09 08 178  7.7  8.8 99.00 99.00 99.00 999 9999.0  24.8 999.0 999.0 99.0
97 01 09 09 183  8.5  9.7 99.00 99.00 99.00 999 9999.0  24.8 999.0 999.0 99.0
97 01 09 10 192  8.4  9.9 99.00 99.00 99.00 999 9999.0  24.7 999.0 999.0 99.0
97 01 09 11 189  8.3  9.7 99.00 99.00 99.00 999 1014.3  24.6 999.0 999.0 99.0
97 01 09 12 194  8.5 10.7 99.00 99.00 99.00 999 1014.2  24.6 999.0 999.0 99.0
97 01 09 13 184  8.3  9.4 99.00 99.00 99.00 999 1014.2  24.7 999.0 999.0 99.0
97 01 09 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 09 15 196  6.7 99.0 99.00 99.00 99.00 999 1015.3  25.0 999.0 999.0 99.0
97 01 09 16 196  6.9  7.9 99.00 99.00 99.00 999 1015.3  25.1 999.0 999.0 99.0
97 01 09 17 196  7.1  7.9 99.00 99.00 99.00 999 1014.7  25.2 999.0 999.0 99.0
97 01 09 18 208  7.3  8.7 99.00 99.00 99.00 999 1013.5  25.1 999.0 999.0 99.0
97 01 09 19 197  7.8  8.9 99.00 99.00 99.00 999 1012.3  25.0 999.0 999.0 99.0
97 01 09 20 198  7.5  8.3 99.00 99.00 99.00 999 1011.7  25.3 999.0 999.0 99.0
97 01 09 21 187  6.7  7.6 99.00 99.00 99.00 999 1011.3  25.3 999.0 999.0 99.0
97 01 09 22 185  6.8  7.3 99.00 99.00 99.00 999 1010.9  25.4 999.0 999.0 99.0
97 01 09 23 199  6.7  7.8 99.00 99.00 99.00 999 1011.2  25.3 999.0 999.0 99.0
